"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1477","Cart icon in the header navigates to the cart page","","Mon Apr 20 07:13:53 UTC 2026","passed","Mon Apr 20 07:13:54 UTC 2026","","Header navigation functionality","Cart icon in the header navigates to the cart page",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1802","Inventory page displays all six products","","Mon Apr 20 07:13:15 UTC 2026","passed","Mon Apr 20 07:13:17 UTC 2026","","Inventory page functionality","Inventory page displays all six products",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1587","Adding multiple products shows the correct cart badge count","","Mon Apr 20 07:13:24 UTC 2026","passed","Mon Apr 20 07:13:26 UTC 2026","","Inventory page functionality","Adding multiple products shows the correct cart badge count",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1477","User can sort products by name Z to A","","Mon Apr 20 07:13:18 UTC 2026","passed","Mon Apr 20 07:13:19 UTC 2026","","Inventory page functionality","User can sort products by name Z to A",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1485","User can sort products by price low to high","","Mon Apr 20 07:13:19 UTC 2026","passed","Mon Apr 20 07:13:21 UTC 2026","","Inventory page functionality","User can sort products by price low to high",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","6436","Performance glitch user can log in successfully","","Mon Apr 20 07:13:37 UTC 2026","passed","Mon Apr 20 07:13:43 UTC 2026","","Login functionality","Performance glitch user can log in successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1382","Standard user can log in successfully","","Mon Apr 20 07:13:29 UTC 2026","passed","Mon Apr 20 07:13:30 UTC 2026","","Login functionality","Standard user can log in successfully",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1499","User can sort products by price high to low","","Mon Apr 20 07:13:21 UTC 2026","passed","Mon Apr 20 07:13:22 UTC 2026","","Inventory page functionality","User can sort products by price high to low",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1289","User cannot log in with empty password","","Mon Apr 20 07:13:34 UTC 2026","passed","Mon Apr 20 07:13:35 UTC 2026","","Login functionality","User cannot log in with empty password",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1643","User can proceed to checkout from the cart","","Mon Apr 20 07:13:02 UTC 2026","passed","Mon Apr 20 07:13:03 UTC 2026","","Shopping cart functionality","User can proceed to checkout from the cart",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1699","User can remove an item from the cart page","","Mon Apr 20 07:12:59 UTC 2026","passed","Mon Apr 20 07:13:00 UTC 2026","","Shopping cart functionality","User can remove an item from the cart page",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2148","All Items link in the burger menu navigates to the inventory page","","Mon Apr 20 07:13:50 UTC 2026","passed","Mon Apr 20 07:13:53 UTC 2026","","Header navigation functionality","All Items link in the burger menu navigates to the inventory page",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1668","Cart page is empty when no items have been added","","Mon Apr 20 07:12:57 UTC 2026","passed","Mon Apr 20 07:12:58 UTC 2026","","Shopping cart functionality","Cart page is empty when no items have been added",""
