"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1274","Locked out user cannot log in","","Mon May 18 08:42:00 UTC 2026","passed","Mon May 18 08:42:02 UTC 2026","","Login functionality","Locked out user cannot log in",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2376","User can open and close the burger menu","","Mon May 18 08:42:16 UTC 2026","passed","Mon May 18 08:42:18 UTC 2026","","Header navigation functionality","User can open and close the burger menu",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1049","User cannot log in with empty username","","Mon May 18 08:42:02 UTC 2026","passed","Mon May 18 08:42:03 UTC 2026","","Login functionality","User cannot log in with empty username",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1272","User can sort products by name Z to A","","Mon May 18 08:41:48 UTC 2026","passed","Mon May 18 08:41:50 UTC 2026","","Inventory page functionality","User can sort products by name Z to A",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1978","All Items link in the burger menu navigates to the inventory page","","Mon May 18 08:42:18 UTC 2026","passed","Mon May 18 08:42:20 UTC 2026","","Header navigation functionality","All Items link in the burger menu navigates to the inventory page",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1173","Inventory page displays all six products","","Mon May 18 08:41:46 UTC 2026","passed","Mon May 18 08:41:47 UTC 2026","","Inventory page functionality","Inventory page displays all six products",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1481","User can log in after correcting invalid credentials","","Mon May 18 08:42:12 UTC 2026","passed","Mon May 18 08:42:14 UTC 2026","","Login functionality","User can log in after correcting invalid credentials",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1186","User cannot log in with empty password","","Mon May 18 08:42:03 UTC 2026","passed","Mon May 18 08:42:04 UTC 2026","","Login functionality","User cannot log in with empty password",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1337","Problem user can log in successfully","","Mon May 18 08:42:04 UTC 2026","passed","Mon May 18 08:42:05 UTC 2026","","Login functionality","Problem user can log in successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","6312","Performance glitch user can log in successfully","","Mon May 18 08:42:05 UTC 2026","passed","Mon May 18 08:42:11 UTC 2026","","Login functionality","Performance glitch user can log in successfully",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1329","User can sort products by price high to low","","Mon May 18 08:41:51 UTC 2026","passed","Mon May 18 08:41:52 UTC 2026","","Inventory page functionality","User can sort products by price high to low",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","1984","User can complete a full checkout and receive an order confirmation","","Mon May 18 08:41:35 UTC 2026","passed","Mon May 18 08:41:37 UTC 2026","","Checkout functionality","User can complete a full checkout and receive an order confirmation",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1862","User can log out via the burger menu","","Mon May 18 08:42:14 UTC 2026","passed","Mon May 18 08:42:16 UTC 2026","","Header navigation functionality","User can log out via the burger menu",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","1882","Checkout overview displays the correct order summary","","Mon May 18 08:41:37 UTC 2026","passed","Mon May 18 08:41:39 UTC 2026","","Checkout functionality","Checkout overview displays the correct order summary",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1272","Adding a product to the cart updates the cart badge","","Mon May 18 08:41:52 UTC 2026","passed","Mon May 18 08:41:54 UTC 2026","","Inventory page functionality","Adding a product to the cart updates the cart badge",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1616","Cart page is empty when no items have been added","","Mon May 18 08:41:29 UTC 2026","passed","Mon May 18 08:41:30 UTC 2026","","Shopping cart functionality","Cart page is empty when no items have been added",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1285","Cart icon in the header navigates to the cart page","","Mon May 18 08:42:20 UTC 2026","passed","Mon May 18 08:42:21 UTC 2026","","Header navigation functionality","Cart icon in the header navigates to the cart page",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2205","User can cancel checkout and return to the cart","","Mon May 18 08:41:44 UTC 2026","passed","Mon May 18 08:41:46 UTC 2026","","Checkout functionality","User can cancel checkout and return to the cart",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1206","Products are sorted alphabetically A to Z by default","","Mon May 18 08:41:47 UTC 2026","passed","Mon May 18 08:41:48 UTC 2026","","Inventory page functionality","Products are sorted alphabetically A to Z by default",""
