"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2443","User can open and close the burger menu","","Tue Apr 21 06:55:07 UTC 2026","passed","Tue Apr 21 06:55:09 UTC 2026","","Header navigation functionality","User can open and close the burger menu",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2970","User can complete a full checkout and receive an order confirmation","","Tue Apr 21 06:54:24 UTC 2026","passed","Tue Apr 21 06:54:27 UTC 2026","","Checkout functionality","User can complete a full checkout and receive an order confirmation",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","1847","Checkout form requires a first name","","Tue Apr 21 06:54:30 UTC 2026","passed","Tue Apr 21 06:54:31 UTC 2026","","Checkout functionality","Checkout form requires a first name",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1355","User can navigate to a product detail page","","Tue Apr 21 06:54:48 UTC 2026","passed","Tue Apr 21 06:54:49 UTC 2026","","Inventory page functionality","User can navigate to a product detail page",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1500","Adding multiple products shows the correct cart badge count","","Tue Apr 21 06:54:45 UTC 2026","passed","Tue Apr 21 06:54:46 UTC 2026","","Inventory page functionality","Adding multiple products shows the correct cart badge count",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1258","Standard user lands on inventory page after login","","Tue Apr 21 06:54:50 UTC 2026","passed","Tue Apr 21 06:54:52 UTC 2026","","Login functionality","Standard user lands on inventory page after login",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1261","Standard user can log in successfully","","Tue Apr 21 06:54:49 UTC 2026","passed","Tue Apr 21 06:54:50 UTC 2026","","Login functionality","Standard user can log in successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1117","User cannot log in with empty password","","Tue Apr 21 06:54:54 UTC 2026","passed","Tue Apr 21 06:54:55 UTC 2026","","Login functionality","User cannot log in with empty password",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1361","User can sort products by price low to high","","Tue Apr 21 06:54:40 UTC 2026","passed","Tue Apr 21 06:54:42 UTC 2026","","Inventory page functionality","User can sort products by price low to high",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1530","User can log in after correcting invalid credentials","","Tue Apr 21 06:55:03 UTC 2026","passed","Tue Apr 21 06:55:05 UTC 2026","","Login functionality","User can log in after correcting invalid credentials",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","6301","Performance glitch user can log in successfully","","Tue Apr 21 06:54:56 UTC 2026","passed","Tue Apr 21 06:55:02 UTC 2026","","Login functionality","Performance glitch user can log in successfully",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1437","Adding a product to the cart updates the cart badge","","Tue Apr 21 06:54:43 UTC 2026","passed","Tue Apr 21 06:54:45 UTC 2026","","Inventory page functionality","Adding a product to the cart updates the cart badge",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1918","User can log out via the burger menu","","Tue Apr 21 06:55:05 UTC 2026","passed","Tue Apr 21 06:55:07 UTC 2026","","Header navigation functionality","User can log out via the burger menu",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1682","User can proceed to checkout from the cart","","Tue Apr 21 06:54:23 UTC 2026","passed","Tue Apr 21 06:54:24 UTC 2026","","Shopping cart functionality","User can proceed to checkout from the cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","951","Error message is displayed when both fields are empty","","Tue Apr 21 06:55:02 UTC 2026","passed","Tue Apr 21 06:55:03 UTC 2026","","Login functionality","Error message is displayed when both fields are empty",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1324","Cart icon in the header navigates to the cart page","","Tue Apr 21 06:55:11 UTC 2026","passed","Tue Apr 21 06:55:13 UTC 2026","","Header navigation functionality","Cart icon in the header navigates to the cart page",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1194","Application logo is displayed in the header on the inventory page","","Tue Apr 21 06:55:13 UTC 2026","passed","Tue Apr 21 06:55:14 UTC 2026","","Header navigation functionality","Application logo is displayed in the header on the inventory page",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","1650","User can cancel checkout and return to the cart","","Tue Apr 21 06:54:35 UTC 2026","passed","Tue Apr 21 06:54:37 UTC 2026","","Checkout functionality","User can cancel checkout and return to the cart",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1391","User can sort products by price high to low","","Tue Apr 21 06:54:42 UTC 2026","passed","Tue Apr 21 06:54:43 UTC 2026","","Inventory page functionality","User can sort products by price high to low",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1222","Inventory page displays all six products","","Tue Apr 21 06:54:37 UTC 2026","passed","Tue Apr 21 06:54:38 UTC 2026","","Inventory page functionality","Inventory page displays all six products",""
