"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1521","Error message is displayed when both fields are empty","","2026-07-11","passed","2026-07-11","","Login functionality","Error message is displayed when both fields are empty",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1935","User can sort products by price high to low","","2026-07-11","passed","2026-07-11","","Inventory page functionality","User can sort products by price high to low",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2973","User can open and close the burger menu","","2026-07-11","passed","2026-07-11","","Header navigation functionality","User can open and close the burger menu",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1793","Application logo is displayed in the header on the inventory page","","2026-07-11","passed","2026-07-11","","Header navigation functionality","Application logo is displayed in the header on the inventory page",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1880","Standard user lands on inventory page after login","","2026-07-11","passed","2026-07-11","","Login functionality","Standard user lands on inventory page after login",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2944","User can complete a full checkout and receive an order confirmation","","2026-07-11","passed","2026-07-11","","Checkout functionality","User can complete a full checkout and receive an order confirmation",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","2092","User can remove an item from the cart page","","2026-07-11","passed","2026-07-11","","Shopping cart functionality","User can remove an item from the cart page",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1947","Standard user can log in successfully","","2026-07-11","passed","2026-07-11","","Login functionality","Standard user can log in successfully",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2419","Checkout overview displays the correct order summary","","2026-07-11","passed","2026-07-11","","Checkout functionality","Checkout overview displays the correct order summary",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1941","User can navigate to a product detail page","","2026-07-11","passed","2026-07-11","","Inventory page functionality","User can navigate to a product detail page",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1909","User can sort products by price low to high","","2026-07-11","passed","2026-07-11","","Inventory page functionality","User can sort products by price low to high",""
