"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1367","Adding a product to the cart updates the cart badge","","Sat May 09 07:03:44 UTC 2026","passed","Sat May 09 07:03:45 UTC 2026","","Inventory page functionality","Adding a product to the cart updates the cart badge",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1359","User can sort products by name Z to A","","Sat May 09 07:03:40 UTC 2026","passed","Sat May 09 07:03:41 UTC 2026","","Inventory page functionality","User can sort products by name Z to A",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1262","Inventory page displays all six products","","Sat May 09 07:03:37 UTC 2026","passed","Sat May 09 07:03:38 UTC 2026","","Inventory page functionality","Inventory page displays all six products",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","1831","Checkout form requires a postal code","","Sat May 09 07:03:34 UTC 2026","passed","Sat May 09 07:03:35 UTC 2026","","Checkout functionality","Checkout form requires a postal code",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1351","User can sort products by price high to low","","Sat May 09 07:03:42 UTC 2026","passed","Sat May 09 07:03:44 UTC 2026","","Inventory page functionality","User can sort products by price high to low",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1332","User can navigate to a product detail page","","Sat May 09 07:03:48 UTC 2026","passed","Sat May 09 07:03:49 UTC 2026","","Inventory page functionality","User can navigate to a product detail page",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","1737","Checkout form requires a last name","","Sat May 09 07:03:32 UTC 2026","passed","Sat May 09 07:03:34 UTC 2026","","Checkout functionality","Checkout form requires a last name",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2592","User can open and close the burger menu","","Sat May 09 07:04:08 UTC 2026","passed","Sat May 09 07:04:10 UTC 2026","","Header navigation functionality","User can open and close the burger menu",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1198","Application logo is displayed in the header on the inventory page","","Sat May 09 07:04:14 UTC 2026","passed","Sat May 09 07:04:15 UTC 2026","","Header navigation functionality","Application logo is displayed in the header on the inventory page",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1436","Continue shopping returns the user to the inventory page","","Sat May 09 07:03:23 UTC 2026","passed","Sat May 09 07:03:24 UTC 2026","","Shopping cart functionality","Continue shopping returns the user to the inventory page",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1843","User can remove an item from the cart page","","Sat May 09 07:03:21 UTC 2026","passed","Sat May 09 07:03:23 UTC 2026","","Shopping cart functionality","User can remove an item from the cart page",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1663","Cart page is empty when no items have been added","","Sat May 09 07:03:20 UTC 2026","passed","Sat May 09 07:03:21 UTC 2026","","Shopping cart functionality","Cart page is empty when no items have been added",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1724","User can log in after correcting invalid credentials","","Sat May 09 07:04:04 UTC 2026","passed","Sat May 09 07:04:06 UTC 2026","","Login functionality","User can log in after correcting invalid credentials",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1408","Removing a product from the inventory page clears the cart badge","","Sat May 09 07:03:47 UTC 2026","passed","Sat May 09 07:03:48 UTC 2026","","Inventory page functionality","Removing a product from the inventory page clears the cart badge",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1509","User can proceed to checkout from the cart","","Sat May 09 07:03:25 UTC 2026","passed","Sat May 09 07:03:26 UTC 2026","","Shopping cart functionality","User can proceed to checkout from the cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1257","Standard user lands on inventory page after login","","Sat May 09 07:03:51 UTC 2026","passed","Sat May 09 07:03:52 UTC 2026","","Login functionality","Standard user lands on inventory page after login",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1232","Products are sorted alphabetically A to Z by default","","Sat May 09 07:03:38 UTC 2026","passed","Sat May 09 07:03:40 UTC 2026","","Inventory page functionality","Products are sorted alphabetically A to Z by default",""
