"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","6440","Performance glitch user can log in successfully","","Mon Apr 27 07:32:07 UTC 2026","passed","Mon Apr 27 07:32:13 UTC 2026","","Login functionality","Performance glitch user can log in successfully",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1706","Cart page is empty when no items have been added","","Mon Apr 27 07:31:27 UTC 2026","passed","Mon Apr 27 07:31:28 UTC 2026","","Shopping cart functionality","Cart page is empty when no items have been added",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1416","Products are sorted alphabetically A to Z by default","","Mon Apr 27 07:31:47 UTC 2026","passed","Mon Apr 27 07:31:48 UTC 2026","","Inventory page functionality","Products are sorted alphabetically A to Z by default",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1505","Cart icon in the header navigates to the cart page","","Mon Apr 27 07:32:23 UTC 2026","passed","Mon Apr 27 07:32:24 UTC 2026","","Header navigation functionality","Cart icon in the header navigates to the cart page",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","1792","User can cancel checkout and return to the cart","","Mon Apr 27 07:31:43 UTC 2026","passed","Mon Apr 27 07:31:45 UTC 2026","","Checkout functionality","User can cancel checkout and return to the cart",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1378","Locked out user cannot log in","","Mon Apr 27 07:32:02 UTC 2026","passed","Mon Apr 27 07:32:03 UTC 2026","","Login functionality","Locked out user cannot log in",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1258","User cannot log in with empty password","","Mon Apr 27 07:32:04 UTC 2026","passed","Mon Apr 27 07:32:05 UTC 2026","","Login functionality","User cannot log in with empty password",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","1858","Checkout form requires a last name","","Mon Apr 27 07:31:40 UTC 2026","passed","Mon Apr 27 07:31:41 UTC 2026","","Checkout functionality","Checkout form requires a last name",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2059","Checkout overview displays the correct order summary","","Mon Apr 27 07:31:36 UTC 2026","passed","Mon Apr 27 07:31:38 UTC 2026","","Checkout functionality","Checkout overview displays the correct order summary",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1651","User can proceed to checkout from the cart","","Mon Apr 27 07:31:32 UTC 2026","passed","Mon Apr 27 07:31:33 UTC 2026","","Shopping cart functionality","User can proceed to checkout from the cart",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2064","User can log out via the burger menu","","Mon Apr 27 07:32:16 UTC 2026","passed","Mon Apr 27 07:32:18 UTC 2026","","Header navigation functionality","User can log out via the burger menu",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2212","All Items link in the burger menu navigates to the inventory page","","Mon Apr 27 07:32:21 UTC 2026","passed","Mon Apr 27 07:32:23 UTC 2026","","Header navigation functionality","All Items link in the burger menu navigates to the inventory page",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1616","Adding multiple products shows the correct cart badge count","","Mon Apr 27 07:31:54 UTC 2026","passed","Mon Apr 27 07:31:56 UTC 2026","","Inventory page functionality","Adding multiple products shows the correct cart badge count",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","1717","User can remove an item from the cart page","","Mon Apr 27 07:31:28 UTC 2026","passed","Mon Apr 27 07:31:30 UTC 2026","","Shopping cart functionality","User can remove an item from the cart page",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1483","User can sort products by price low to high","","Mon Apr 27 07:31:49 UTC 2026","passed","Mon Apr 27 07:31:51 UTC 2026","","Inventory page functionality","User can sort products by price low to high",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","1350","Application logo is displayed in the header on the inventory page","","Mon Apr 27 07:32:24 UTC 2026","passed","Mon Apr 27 07:32:26 UTC 2026","","Header navigation functionality","Application logo is displayed in the header on the inventory page",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1699","User can log in after correcting invalid credentials","","Mon Apr 27 07:32:14 UTC 2026","passed","Mon Apr 27 07:32:16 UTC 2026","","Login functionality","User can log in after correcting invalid credentials",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1151","User cannot log in with empty username","","Mon Apr 27 07:32:03 UTC 2026","passed","Mon Apr 27 07:32:04 UTC 2026","","Login functionality","User cannot log in with empty username",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","1520","User can sort products by name Z to A","","Mon Apr 27 07:31:48 UTC 2026","passed","Mon Apr 27 07:31:49 UTC 2026","","Inventory page functionality","User can sort products by name Z to A",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2618","User can open and close the burger menu","","Mon Apr 27 07:32:18 UTC 2026","passed","Mon Apr 27 07:32:21 UTC 2026","","Header navigation functionality","User can open and close the burger menu",""
